Photo,Replicate,x,y,z,width
IMG_9107.JPG,1,7.521,68.047,-103.225,68.047
IMG_9107.JPG,2,7.216,65.27,-178.546,65.27
IMG_9107.JPG,3,3.718,33.531,23.273,33.531
IMG_9107.JPG,4,6.875,62.163,-78.63,62.163
IMG_9107.JPG,5,2.487,22.371,-64.573,22.371
IMG_9107.JPG,6,4.144,37.451,-38.897,37.451
IMG_9107.JPG,7,4.217,38.124,-60.317,38.124
IMG_9107.JPG,8,2.657,23.98,57.407,23.98
IMG_9107.JPG,9,7.192,65.073,-22.126,65.073
IMG_9107.JPG,10,6.472,58.528,57.479,58.528
IMG_9107.JPG,11,2.938,26.499,-71.792,26.499
IMG_9107.JPG,12,3.913,35.285,147.653,35.285
IMG_9107.JPG,13,3.681,33.286,-31.159,33.286
IMG_9107.JPG,14,3.864,34.851,81.254,34.851
IMG_9107.JPG,15,2.803,25.305,-37.02,25.305
IMG_9107.JPG,16,5.485,49.618,37.405,49.618
IMG_9108.JPG,1,3.668,36.805,29.055,36.805
IMG_9108.JPG,2,4.674,47.013,-109.239,47.013
IMG_9108.JPG,3,2.643,26.52,-88.713,26.52
IMG_9108.JPG,4,3.944,39.639,-128.593,39.639
IMG_9108.JPG,5,5.266,52.905,-117.864,52.905
IMG_9108.JPG,6,4.999,50.248,131.154,50.248
IMG_9108.JPG,7,5.985,60.198,40.786,60.198
IMG_9108.JPG,8,4.901,49.292,45,49.292
IMG_9108.JPG,9,1.548,15.502,87.797,15.502
IMG_9108.JPG,10,1.972,19.718,-26.952,19.718
IMG_9108.JPG,11,4.151,41.691,76.361,41.691
IMG_9108.JPG,12,5.552,55.816,73.887,55.816
IMG_9108.JPG,13,5.926,59.593,1.146,59.593
IMG_9108.JPG,14,5.719,57.511,-44.37,57.511
IMG_9108.JPG,15,6.271,63.086,-4.876,63.086
IMG_9108.JPG,16,4.112,41.322,5.793,41.322
IMG_9108.JPG,17,3.077,30.859,40.301,30.859
IMG_9108.JPG,18,5.049,50.771,97.417,50.771
IMG_9108.JPG,19,4.497,45.231,75.506,45.231
IMG_9109.JPG,1,3.668,36.805,29.055,36.805
IMG_9109.JPG,2,4.674,47.013,-109.239,47.013
IMG_9109.JPG,3,2.643,26.52,-88.713,26.52
IMG_9109.JPG,4,3.944,39.639,-128.593,39.639
IMG_9109.JPG,5,5.266,52.905,-117.864,52.905
IMG_9109.JPG,6,4.999,50.248,131.154,50.248
IMG_9109.JPG,7,5.985,60.198,40.786,60.198
IMG_9109.JPG,8,4.901,49.292,45,49.292
IMG_9109.JPG,9,1.548,15.502,87.797,15.502
IMG_9109.JPG,10,1.972,19.718,-26.952,19.718
IMG_9109.JPG,11,4.151,41.691,76.361,41.691
IMG_9109.JPG,12,5.552,55.816,73.887,55.816
IMG_9109.JPG,13,5.926,59.593,1.146,59.593
IMG_9109.JPG,14,5.719,57.511,-44.37,57.511
IMG_9109.JPG,15,6.271,63.086,-4.876,63.086
IMG_9109.JPG,16,4.112,41.322,5.793,41.322
IMG_9109.JPG,17,3.077,30.859,40.301,30.859
IMG_9109.JPG,18,5.049,50.771,97.417,50.771
IMG_9109.JPG,19,4.497,45.231,75.506,45.231
IMG_9109.JPG,20,4.673,45.548,-160.71,45.548
IMG_9109.JPG,21,5.354,52.226,61.174,52.226
IMG_9109.JPG,22,2.64,25.655,11.041,25.655
IMG_9109.JPG,23,3.248,31.631,0.556,31.631
IMG_9109.JPG,24,5.448,53.132,179.007,53.132
IMG_9109.JPG,25,6.486,63.271,106.06,63.271
IMG_9109.JPG,26,1.991,19.346,90,19.346
IMG_9109.JPG,27,3.091,30.112,101.768,30.112
IMG_9109.JPG,28,2.316,22.524,101.004,22.524
IMG_9109.JPG,29,4.013,39.134,108.293,39.134
IMG_9109.JPG,30,2.179,21.226,14.237,21.226
IMG_9109.JPG,31,3.499,34.108,20.556,34.108
IMG_9109.JPG,32,4.317,42.088,54.802,42.088
IMG_9109.JPG,33,3.688,35.943,-70.017,35.943
IMG_9109.JPG,34,2.158,20.976,107.904,20.976
IMG_9109.JPG,35,5.993,58.421,79.399,58.421
IMG_9109.JPG,36,4.411,42.993,-45,42.993
IMG_9109.JPG,37,2.913,28.306,61.489,28.306
IMG_9109.JPG,38,3.96,38.58,13.815,38.58
IMG_9109.JPG,39,2.588,25.152,-107.771,25.152
IMG_9109.JPG,40,4.746,46.237,106.991,46.237
IMG_9110.JPG,1,5.361,57.097,24.421,57.097
IMG_9110.JPG,2,3.413,36.391,42.809,36.391
IMG_9110.JPG,3,2.615,27.777,-11.083,27.777
IMG_9110.JPG,4,4.651,49.562,65.906,49.562
IMG_9110.JPG,5,1.711,18.162,8.005,18.162
IMG_9110.JPG,6,3.097,32.956,-24.161,32.956
IMG_9112.JPG,1,4.13,43.659,-103.496,43.659
IMG_9112.JPG,2,5.999,63.454,-167.638,63.454
IMG_9112.JPG,3,5.874,62.191,51.096,62.191
IMG_9112.JPG,4,5.58,59.067,129.946,59.067
IMG_9112.JPG,5,4.993,52.871,39.57,52.871
IMG_9112.JPG,6,4.326,45.798,142.28,45.798
IMG_9112.JPG,7,4.219,44.633,134.229,44.633
IMG_9112.JPG,8,6.933,73.379,48.44,73.379
IMG_9112.JPG,9,3.934,41.601,-50.244,41.601
IMG_9112.JPG,10,3.587,37.905,74.407,37.905
IMG_9112.JPG,11,2.91,30.789,-18.768,30.789
IMG_9112.JPG,12,4.139,43.745,49.198,43.745
IMG_9112.JPG,13,2.083,22.014,45,22.014
IMG_9112.JPG,14,6.319,66.844,-44.657,66.844
IMG_9114.JPG,1,10.553,90.421,-114.682,90.421
IMG_9114.JPG,2,5.337,45.641,67.954,45.641
IMG_9114.JPG,3,5.147,44.016,30.027,44.016
IMG_9114.JPG,4,6.22,53.257,3.764,53.257
IMG_9114.JPG,5,7.741,66.273,73.764,66.273
IMG_9114.JPG,6,7.022,60.086,43.821,60.086
IMG_9114.JPG,7,2.119,18.062,-42.647,18.062
IMG_9114.JPG,8,2.187,18.622,39.668,18.622
IMG_9114.JPG,9,6.03,51.607,37.569,51.607
IMG_9114.JPG,10,5.731,49.029,23.091,49.029
IMG_9114.JPG,11,4.889,41.804,75.964,41.804
IMG_9114.JPG,12,4.74,40.539,77.042,40.539
IMG_9114.JPG,13,4.849,41.441,27.646,41.441
IMG_9114.JPG,14,8.665,74.232,156.695,74.232
IMG_9114.JPG,15,11.123,95.302,-108.169,95.302
IMG_9114.JPG,16,6.804,58.239,29.489,58.239
IMG_9114.JPG,17,5.908,50.564,37.979,50.564
IMG_9114.JPG,18,4.061,34.698,-49.086,34.698
IMG_9114.JPG,19,3.164,27.056,25.241,27.056
IMG_9115.JPG,1,6.185,53.32,25.062,53.32
IMG_9115.JPG,2,9.472,81.685,39.65,81.685
IMG_9115.JPG,3,9.74,83.934,8.331,83.934
IMG_9115.JPG,4,5.836,50.255,37.979,50.255
IMG_9115.JPG,5,6.52,56.169,8.18,56.169
IMG_9115.JPG,6,3.072,26.466,86.236,26.466
IMG_9115.JPG,7,7.298,62.903,0.95,62.903
IMG_9115.JPG,8,5.541,47.738,24.513,47.738
IMG_9115.JPG,9,7.218,62.225,-20.256,62.225
IMG_9115.JPG,10,6.292,54.217,-37.972,54.217
IMG_9115.JPG,11,6.064,52.277,40.147,52.277
IMG_9115.JPG,12,2.858,24.524,69.254,24.524
IMG_9115.JPG,13,6.856,59.057,6.08,59.057
IMG_9115.JPG,14,6.051,52.17,-13.481,52.17
IMG_9115.JPG,15,7.043,60.651,-101.567,60.651
IMG_9115.JPG,16,3.072,26.463,-23.199,26.463
IMG_9115.JPG,17,4.548,39.155,31.574,39.155
IMG_9116.JPG,1,4.505,48.296,-169.665,48.296
IMG_9116.JPG,2,6.145,65.851,-175.862,65.851
IMG_9116.JPG,3,1.84,19.624,79.33,19.624
IMG_9116.JPG,4,6.067,65.034,15.709,65.034
IMG_9116.JPG,5,4.097,43.911,2.189,43.911
IMG_9116.JPG,6,7.455,79.947,20.462,79.947
IMG_9116.JPG,7,3.437,36.782,-53.653,36.782
IMG_9116.JPG,8,3.02,32.365,36.573,32.365
IMG_9116.JPG,9,2.126,22.714,34.472,22.714
IMG_9116.JPG,10,2.786,29.773,50.332,29.773
IMG_9116.JPG,11,1.258,13.442,-93.576,13.442
IMG_9116.JPG,12,2.855,30.52,37.185,30.52
IMG_9116.JPG,13,2.725,29.179,-16.699,29.179
IMG_9116.JPG,14,6.44,69.035,19.389,69.035
IMG_9116.JPG,15,3.09,33.042,35.707,33.042
IMG_9116.JPG,16,2.595,27.797,-74.846,27.797
IMG_9116.JPG,17,4.097,43.926,18.55,43.926
IMG_9116.JPG,18,2.881,30.851,19.584,30.851
IMG_9116.JPG,19,2.144,22.874,26.878,22.874
IMG_9116.JPG,20,1.953,20.859,35.181,20.859
IMG_9116.JPG,21,2.291,24.501,-20.709,24.501
