yr,coral,coralse,liagora,liagorase,lobophora,lobphorase
2012.16,77,3.7,NaN,NaN,NaN,NaN
2012.9,77,3.7,NaN,NaN,NaN,NaN
2012.91,0,0,0,0,0,0
2013.16,0,0,43.6,5.1,NaN,NaN
2013.4,0,0,13.8,4.4,NaN,NaN
2013.75,0.3205128,0.3205128,NaN,NaN,24.8,2.2
2013.83,5.745434,3.160376,NaN,NaN,18.1,9.60833
2014.4,0.3952569,0.3952569,NaN,NaN,41.52227,5.83437
2014.8,2.278754,0.7338823,NaN,NaN,36.68242,7.032404
2017.6,23.8,2.1,NaN,NaN,6.1,1.4
2018.214,30.9,2.8,NaN,NaN,5.5,0.9
2019.46,63.5,3.1,NaN,NaN,3.4,0.6
