Date,Time,Site,Disturbance,Quadrat_0.0625_m2,MaxDiam_mm
21/11/2013,Nov-13,Lukes,Impacted,1,
21/11/2013,Nov-13,Lukes,Impacted,2,9
21/11/2013,Nov-13,Lukes,Impacted,3,
21/11/2013,Nov-13,Lukes,Impacted,4,12
21/11/2013,Nov-13,Lukes,Impacted,5,31
21/11/2013,Nov-13,Lukes,Impacted,5,18
21/11/2013,Nov-13,Lukes,Impacted,6,
21/11/2013,Nov-13,Lukes,Impacted,7,
21/11/2013,Nov-13,Lukes,Impacted,8,
21/11/2013,Nov-13,Lukes,Impacted,9,11
21/11/2013,Nov-13,Lukes,Impacted,10,19
21/11/2013,Nov-13,ES,Unimpacted,1,10
21/11/2013,Nov-13,ES,Unimpacted,2,14
21/11/2013,Nov-13,ES,Unimpacted,2,29
21/11/2013,Nov-13,ES,Unimpacted,3,
21/11/2013,Nov-13,ES,Unimpacted,4,
21/11/2013,Nov-13,ES,Unimpacted,5,
21/11/2013,Nov-13,ES,Unimpacted,6,20
21/11/2013,Nov-13,ES,Unimpacted,7,
21/11/2013,Nov-13,ES,Unimpacted,8,
21/11/2013,Nov-13,ES,Unimpacted,9,
21/11/2013,Nov-13,ES,Unimpacted,10,
22/11/2013,Nov-13,LightM,Impacted,1,
22/11/2013,Nov-13,LightM,Impacted,2,10
22/11/2013,Nov-13,LightM,Impacted,2,8
22/11/2013,Nov-13,LightM,Impacted,3,
22/11/2013,Nov-13,LightM,Impacted,4,6
22/11/2013,Nov-13,LightM,Impacted,4,14
22/11/2013,Nov-13,LightM,Impacted,5,6
22/11/2013,Nov-13,LightM,Impacted,5,5
22/11/2013,Nov-13,LightM,Impacted,6,7
22/11/2013,Nov-13,LightM,Impacted,7,
22/11/2013,Nov-13,LightM,Impacted,8,
22/11/2013,Nov-13,LightM,Impacted,9,
22/11/2013,Nov-13,LightM,Impacted,10,
22/11/2013,Nov-13,LightN,Impacted,1,
22/11/2013,Nov-13,LightN,Impacted,2,12
22/11/2013,Nov-13,LightN,Impacted,3,
22/11/2013,Nov-13,LightN,Impacted,4,
22/11/2013,Nov-13,LightN,Impacted,5,
22/11/2013,Nov-13,LightN,Impacted,6,2
22/11/2013,Nov-13,LightN,Impacted,6,7
22/11/2013,Nov-13,LightN,Impacted,6,5
22/11/2013,Nov-13,LightN,Impacted,7,6
22/11/2013,Nov-13,LightN,Impacted,8,
22/11/2013,Nov-13,LightN,Impacted,9,
22/11/2013,Nov-13,LightN,Impacted,10,
22/11/2013,Nov-13,NgkS,Impacted,1,
22/11/2013,Nov-13,NgkS,Impacted,2,10
22/11/2013,Nov-13,NgkS,Impacted,3,
22/11/2013,Nov-13,NgkS,Impacted,4,
22/11/2013,Nov-13,NgkS,Impacted,5,
22/11/2013,Nov-13,NgkS,Impacted,6,
22/11/2013,Nov-13,NgkS,Impacted,7,
22/11/2013,Nov-13,NgkS,Impacted,8,16
22/11/2013,Nov-13,NgkS,Impacted,9,
22/11/2013,Nov-13,NgkS,Impacted,10,
22/11/2013,Nov-13,SDO,Unimpacted,1,
22/11/2013,Nov-13,SDO,Unimpacted,2,
22/11/2013,Nov-13,SDO,Unimpacted,3,21
22/11/2013,Nov-13,SDO,Unimpacted,4,8
22/11/2013,Nov-13,SDO,Unimpacted,4,5
22/11/2013,Nov-13,SDO,Unimpacted,5,8
22/11/2013,Nov-13,SDO,Unimpacted,5,7
22/11/2013,Nov-13,SDO,Unimpacted,6,
22/11/2013,Nov-13,SDO,Unimpacted,7,3
22/11/2013,Nov-13,SDO,Unimpacted,8,
22/11/2013,Nov-13,SDO,Unimpacted,9,4
22/11/2013,Nov-13,SDO,Unimpacted,10,30
22/11/2013,Nov-13,SDO,Unimpacted,10,4
