RetrievalDate,RetrievalMonth,RetrievalYear,Site,MAPhaseShift,TotalDensity_100cm2
4_2013,4,2013,Lighthouse Mid,Impacted,0
4_2013,4,2013,Lighthouse Mid,Impacted,0
4_2013,4,2013,Lighthouse Mid,Impacted,8
4_2013,4,2013,Lighthouse Mid,Impacted,0
4_2013,4,2013,Lighthouse Mid,Impacted,0
4_2013,4,2013,Lighthouse Mid,Impacted,4
4_2013,4,2013,Lighthouse Mid,Impacted,0
4_2013,4,2013,Lighthouse Mid,Impacted,0
4_2013,4,2013,Lighthouse Mid,Impacted,0
4_2013,4,2013,Lighthouse Mid,Impacted,0
4_2013,4,2013,Lighthouse Mid,Impacted,0
4_2013,4,2013,Lighthouse Mid,Impacted,0
4_2013,4,2013,Lighthouse Mid,Impacted,0
4_2013,4,2013,Lighthouse Mid,Impacted,0
4_2013,4,2013,Lighthouse Mid,Impacted,0
4_2013,4,2013,Lighthouse North,Impacted,12
4_2013,4,2013,Lighthouse North,Impacted,0
4_2013,4,2013,Lighthouse North,Impacted,0
4_2013,4,2013,Lighthouse North,Impacted,0
4_2013,4,2013,Lighthouse North,Impacted,0
4_2013,4,2013,Lighthouse North,Impacted,0
4_2013,4,2013,Lighthouse North,Impacted,0
4_2013,4,2013,Lighthouse North,Impacted,0
4_2013,4,2013,Lighthouse North,Impacted,0
4_2013,4,2013,Lighthouse North,Impacted,0
4_2013,4,2013,Lighthouse North,Impacted,4
4_2013,4,2013,Lighthouse North,Impacted,0
4_2013,4,2013,Lighthouse North,Impacted,0
4_2013,4,2013,Lighthouse North,Impacted,0
4_2013,4,2013,Lighthouse North,Impacted,0
4_2013,4,2013,Ngederrak,Impacted,0
4_2013,4,2013,Ngederrak,Impacted,0
4_2013,4,2013,Ngederrak,Impacted,0
4_2013,4,2013,Ngederrak,Impacted,0
4_2013,4,2013,Ngederrak,Impacted,4
4_2013,4,2013,Ngederrak,Impacted,0
4_2013,4,2013,Ngederrak,Impacted,0
4_2013,4,2013,Ngederrak,Impacted,0
4_2013,4,2013,Ngederrak,Impacted,0
4_2013,4,2013,Ngederrak,Impacted,0
4_2013,4,2013,Ngederrak,Impacted,0
4_2013,4,2013,Ngederrak,Impacted,0
4_2013,4,2013,Ngederrak,Impacted,0
11_2013,11,2013,Lighthouse Mid,Impacted,0
11_2013,11,2013,Lighthouse Mid,Impacted,0
11_2013,11,2013,Lighthouse Mid,Impacted,0
11_2013,11,2013,Lighthouse Mid,Impacted,0
11_2013,11,2013,Lighthouse Mid,Impacted,0.6
11_2013,11,2013,Lighthouse Mid,Impacted,0
11_2013,11,2013,Lighthouse Mid,Impacted,0
11_2013,11,2013,Lighthouse Mid,Impacted,0
11_2013,11,2013,Lighthouse Mid,Impacted,0.6
11_2013,11,2013,Lighthouse Mid,Impacted,0
11_2013,11,2013,Lighthouse North,Impacted,0
11_2013,11,2013,Lighthouse North,Impacted,0
11_2013,11,2013,Lighthouse North,Impacted,0
11_2013,11,2013,Lighthouse North,Impacted,0
11_2013,11,2013,Lighthouse North,Impacted,0
11_2013,11,2013,Lighthouse North,Impacted,0
11_2013,11,2013,Lighthouse North,Impacted,0
11_2013,11,2013,Lighthouse North,Impacted,0
11_2013,11,2013,Lighthouse North,Impacted,0.6
11_2013,11,2013,Lighthouse North,Impacted,0.6
11_2013,11,2013,Ngederrak,Impacted,0
11_2013,11,2013,Ngederrak,Impacted,0
11_2013,11,2013,Ngederrak,Impacted,0
11_2013,11,2013,Ngederrak,Impacted,0
11_2013,11,2013,Ngederrak,Impacted,0.6
11_2013,11,2013,Ngederrak,Impacted,0
11_2013,11,2013,Ngederrak,Impacted,0.6
11_2013,11,2013,Ngederrak,Impacted,1.8
11_2013,11,2013,Ngederrak,Impacted,0.6
11_2013,11,2013,Ngederrak,Impacted,0.6
5_2014,5,2014,Lighthouse Mid,Impacted,0
5_2014,5,2014,Lighthouse Mid,Impacted,0
5_2014,5,2014,Lighthouse Mid,Impacted,0
5_2014,5,2014,Lighthouse Mid,Impacted,0
5_2014,5,2014,Lighthouse Mid,Impacted,1.2
5_2014,5,2014,Lighthouse Mid,Impacted,0.6
5_2014,5,2014,Lighthouse Mid,Impacted,0
5_2014,5,2014,Lighthouse Mid,Impacted,0
5_2014,5,2014,Lighthouse Mid,Impacted,0
5_2014,5,2014,Lighthouse Mid,Impacted,0.6
5_2014,5,2014,Lighthouse North,Impacted,0
5_2014,5,2014,Lighthouse North,Impacted,0
5_2014,5,2014,Lighthouse North,Impacted,0
5_2014,5,2014,Lighthouse North,Impacted,0
5_2014,5,2014,Lighthouse North,Impacted,0
5_2014,5,2014,Lighthouse North,Impacted,0
5_2014,5,2014,Lighthouse North,Impacted,0
5_2014,5,2014,Lighthouse North,Impacted,0
5_2014,5,2014,Lighthouse North,Impacted,0
5_2014,5,2014,Lighthouse North,Impacted,0
5_2014,5,2014,Ngederrak,Impacted,0
5_2014,5,2014,Ngederrak,Impacted,0
5_2014,5,2014,Ngederrak,Impacted,0
5_2014,5,2014,Ngederrak,Impacted,0
5_2014,5,2014,Ngederrak,Impacted,0
5_2014,5,2014,Ngederrak,Impacted,0.6
5_2014,5,2014,Ngederrak,Impacted,0
5_2014,5,2014,Ngederrak,Impacted,0
5_2014,5,2014,Ngederrak,Impacted,0
5_2014,5,2014,Ngederrak,Impacted,0
11_2014,11,2014,Lighthouse Mid,Impacted,0
11_2014,11,2014,Lighthouse Mid,Impacted,0
11_2014,11,2014,Lighthouse Mid,Impacted,0
11_2014,11,2014,Lighthouse Mid,Impacted,0
11_2014,11,2014,Lighthouse Mid,Impacted,0.6
11_2014,11,2014,Lighthouse Mid,Impacted,0
11_2014,11,2014,Lighthouse Mid,Impacted,0.6
11_2014,11,2014,Lighthouse Mid,Impacted,0
11_2014,11,2014,Lighthouse Mid,Impacted,0
11_2014,11,2014,Lighthouse Mid,Impacted,0
11_2014,11,2014,Lighthouse North,Impacted,0.6
11_2014,11,2014,Lighthouse North,Impacted,0
11_2014,11,2014,Lighthouse North,Impacted,0
11_2014,11,2014,Lighthouse North,Impacted,0
11_2014,11,2014,Lighthouse North,Impacted,0
11_2014,11,2014,Lighthouse North,Impacted,0
11_2014,11,2014,Lighthouse North,Impacted,0
11_2014,11,2014,Lighthouse North,Impacted,0
11_2014,11,2014,Lighthouse North,Impacted,0
11_2014,11,2014,Lighthouse North,Impacted,0
11_2014,11,2014,Ngederrak,Impacted,0.6
11_2014,11,2014,Ngederrak,Impacted,0.6
11_2014,11,2014,Ngederrak,Impacted,0.6
11_2014,11,2014,Ngederrak,Impacted,0.6
11_2014,11,2014,Ngederrak,Impacted,0
11_2014,11,2014,Ngederrak,Impacted,0
11_2014,11,2014,Ngederrak,Impacted,0
11_2014,11,2014,Ngederrak,Impacted,0
11_2014,11,2014,Ngederrak,Impacted,0
11_2014,11,2014,Ngederrak,Impacted,0
6_2016,6,2016,Ngederrak,Impacted,4
6_2016,6,2016,Ngederrak,Impacted,4
6_2016,6,2016,Ngederrak,Impacted,8
6_2016,6,2016,Ngederrak,Impacted,0
6_2016,6,2016,Ngederrak,Impacted,4
6_2016,6,2016,Ngederrak,Impacted,4
6_2016,6,2016,Ngederrak,Impacted,0
6_2016,6,2016,Ngederrak,Impacted,8
6_2016,6,2016,Ngederrak,Impacted,8
6_2016,6,2016,Ngederrak,Impacted,0
6_2016,6,2016,Ngederrak,Impacted,0
6_2016,6,2016,Ngederrak,Impacted,0
6_2016,6,2016,Ngederrak,Impacted,4
6_2016,6,2016,Ngederrak,Impacted,4
6_2016,6,2016,Ngederrak,Impacted,0
10_2016,10,2016,Ngederrak,Impacted,16
10_2016,10,2016,Ngederrak,Impacted,0
10_2016,10,2016,Ngederrak,Impacted,20
10_2016,10,2016,Ngederrak,Impacted,20
10_2016,10,2016,Ngederrak,Impacted,4
10_2016,10,2016,Ngederrak,Impacted,4
10_2016,10,2016,Ngederrak,Impacted,4
10_2016,10,2016,Ngederrak,Impacted,8
10_2016,10,2016,Ngederrak,Impacted,0
10_2016,10,2016,Ngederrak,Impacted,4
10_2016,10,2016,Ngederrak,Impacted,16
10_2016,10,2016,Ngederrak,Impacted,0
10_2016,10,2016,Ngederrak,Impacted,8
10_2016,10,2016,Ngederrak,Impacted,4
10_2016,10,2016,Ngederrak,Impacted,4
2_2017,2,2017,Ngederrak,Impacted,0
2_2017,2,2017,Ngederrak,Impacted,8
2_2017,2,2017,Ngederrak,Impacted,4
2_2017,2,2017,Ngederrak,Impacted,8
2_2017,2,2017,Ngederrak,Impacted,0
2_2017,2,2017,Ngederrak,Impacted,12
2_2017,2,2017,Ngederrak,Impacted,0
2_2017,2,2017,Ngederrak,Impacted,4
2_2017,2,2017,Ngederrak,Impacted,0
2_2017,2,2017,Ngederrak,Impacted,0
2_2017,2,2017,Ngederrak,Impacted,8
2_2017,2,2017,Ngederrak,Impacted,12
2_2017,2,2017,Ngederrak,Impacted,4
2_2017,2,2017,Ngederrak,Impacted,8
6_2017,6,2017,Ngederrak,Impacted,80
6_2017,6,2017,Ngederrak,Impacted,40
6_2017,6,2017,Ngederrak,Impacted,40
6_2017,6,2017,Ngederrak,Impacted,24
6_2017,6,2017,Ngederrak,Impacted,36
6_2017,6,2017,Ngederrak,Impacted,16
6_2017,6,2017,Ngederrak,Impacted,32
6_2017,6,2017,Ngederrak,Impacted,64
6_2017,6,2017,Ngederrak,Impacted,12
6_2017,6,2017,Ngederrak,Impacted,28
6_2017,6,2017,Ngederrak,Impacted,52
6_2017,6,2017,Ngederrak,Impacted,40
6_2017,6,2017,Ngederrak,Impacted,8
6_2017,6,2017,Ngederrak,Impacted,28
6_2017,6,2017,Ngederrak,Impacted,32
10_2017,10,2017,Ngederrak,Impacted,12
10_2017,10,2017,Ngederrak,Impacted,16
10_2017,10,2017,Ngederrak,Impacted,4
10_2017,10,2017,Ngederrak,Impacted,8
10_2017,10,2017,Ngederrak,Impacted,8
10_2017,10,2017,Ngederrak,Impacted,20
10_2017,10,2017,Ngederrak,Impacted,4
10_2017,10,2017,Ngederrak,Impacted,4
10_2017,10,2017,Ngederrak,Impacted,0
10_2017,10,2017,Ngederrak,Impacted,12
10_2017,10,2017,Ngederrak,Impacted,4
10_2017,10,2017,Ngederrak,Impacted,4
10_2017,10,2017,Ngederrak,Impacted,4
2_2018,2,2018,Ngederrak,Impacted,16
2_2018,2,2018,Ngederrak,Impacted,20
2_2018,2,2018,Ngederrak,Impacted,8
2_2018,2,2018,Ngederrak,Impacted,4
2_2018,2,2018,Ngederrak,Impacted,16
2_2018,2,2018,Ngederrak,Impacted,40
2_2018,2,2018,Ngederrak,Impacted,24
2_2018,2,2018,Ngederrak,Impacted,0
2_2018,2,2018,Ngederrak,Impacted,20
2_2018,2,2018,Ngederrak,Impacted,16
2_2018,2,2018,Ngederrak,Impacted,28
2_2018,2,2018,Ngederrak,Impacted,32
2_2018,2,2018,Ngederrak,Impacted,12
2_2018,2,2018,Ngederrak,Impacted,28
